dpf,dose,x_fish,x_dead,percent_dead,hatched,percent_hatched,abnormalities,percent_abnormalities
0,0,79,na,na,na,na,na,na
0,0.25,48,na,na,na,na,na,na
0,0.5,50,na,na,na,na,na,na
0,2,50,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na
1,0,79,17,21.51898734,na,na,na,na
1,0.25,48,10,20.83333333,na,na,na,na
1,0.5,50,9,18,na,na,na,na
1,2,50,11,22,na,na,na,na
1,8,60,19,31.66666667,na,na,na,na
1,16,60,38,63.33333333,na,na,na,na
2,0,79,0,21.51898734,41,66.12903226,na,na
2,0.25,48,0,20.83333333,18,47.36842105,na,na
2,0.5,50,0,18,15,36.58536585,na,na
2,2,50,0,22,3,7.692307692,na,na
2,8,60,10,48.33333333,1,3.225806452,na,na
2,16,60,22,100,na,na,na,na
3,0,79,0,21.51898734,62,100,na,na
3,0.25,48,0,20.83333333,38,100,na,na
3,0.5,50,0,18,41,100,na,na
3,2,50,0,22,35,89.74358974,na,na
3,8,60,3,53.33333333,10,35.71428571,na,na
3,16,60,60,100,na,na,na,na
4,0,79,0,21.51898734,62,100,na,na
4,0.25,48,0,20.83333333,38,100,na,na
4,0.5,50,0,18,41,100,na,na
4,2,50,0,22,39,100,na,na
4,8,60,12,73.33333333,16,100,na,na
4,16,60,60,100,na,na,na,na
5,0,79,0,21.51898734,79,100,3,4.838709677
5,0.25,48,0,20.83333333,48,100,2,5.263157895
5,0.5,50,0,18,50,100,1,2.43902439
5,2,50,0,22,50,100,23,58.97435897
5,8,60,16,100,60,na,na,na
5,16,60,60,100,60,na,na,na
0,0,68,na,na,na,na,na,na
0,0.25,48,na,na,na,na,na,na
0,0.5,50,na,na,na,na,na,na
0,2,50,na,na,na,na,na,na
0,8,50,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na
1,0,68,15,22.05882353,na,na,na,na
1,0.25,60,16,26.66666667,na,na,na,na
1,0.5,50,13,26,na,na,na,na
1,2,50,10,20,na,na,na,na
1,8,50,15,30,na,na,na,na
1,16,60,20,33.33333333,na,na,na,na
2,0,68,0,22.05882353,38,71.69811321,na,na
2,0.25,60,0,26.66666667,10,22.72727273,na,na
2,0.5,50,0,26,11,29.72972973,na,na
2,2,50,0,20,10,25,na,na
2,8,50,4,38,1,3.225806452,na,na
2,16,60,40,100,na,na,na,na
3,0,68,0,22.05882353,53,100,na,na
3,0.25,60,0,26.66666667,44,100,na,na
3,0.5,50,0,26,37,100,na,na
3,2,50,0,20,40,100,na,na
3,8,50,12,62,1,5.263157895,na,na
3,16,60,60,100,na,na,na,na
4,0,68,0,22.05882353,53,100,na,na
4,0.25,60,0,26.66666667,44,100,na,na
4,0.5,50,0,26,37,100,na,na
4,2,50,0,20,40,100,na,na
4,8,50,7,76,12,100,na,na
4,16,60,60,100,na,na,na,na
5,0,68,0,22.05882353,68,100,1,1.886792453
5,0.25,60,0,26.66666667,60,100,2,4.545454545
5,0.5,50,0,26,50,100,1,2.702702703
5,2,50,0,20,50,100,40,100
5,8,50,12,100,50,na,na,na
5,16,60,60,100,60,na,na,na
0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na
1,0,60,10,16.66666667,na,na,na,na
1,0.25,60,7,11.66666667,na,na,na,na
1,0.5,60,8,13.33333333,na,na,na,na
1,2,60,10,16.66666667,na,na,na,na
1,8,60,11,18.33333333,na,na,na,na
1,16,60,22,36.66666667,na,na,na,na
2,0,60,0,16.66666667,36,72,na,na
2,0.25,60,0,11.66666667,30,56.60377358,na,na
2,0.5,60,0,13.33333333,25,48.07692308,na,na
2,2,60,0,16.66666667,8,16,na,na
2,8,60,5,26.66666667,0,0,na,na
2,16,60,38,100,na,na,na,na
3,0,60,0,16.66666667,49,98,na,na
3,0.25,60,0,11.66666667,52,98.11320755,na,na
3,0.5,60,0,13.33333333,52,100,na,na
3,2,60,0,16.66666667,50,100,na,na
3,8,60,13,48.33333333,13,41.93548387,na,na
3,16,60,60,100,na,na,na,na
4,0,60,0,16.66666667,50,100,na,na
4,0.25,60,0,11.66666667,53,100,na,na
4,0.5,60,0,13.33333333,52,100,na,na
4,2,60,0,16.66666667,50,100,na,na
4,8,60,31,100,na,na,na,na
4,16,60,60,100,na,na,na,na
5,0,60,0,16.66666667,,100,2,4
5,0.25,60,0,11.66666667,,100,1,1.886792453
5,0.5,60,0,13.33333333,,100,1,1.923076923
5,2,60,0,16.66666667,,100,50,100
5,8,60,60,100,na,na,na,na
5,16,60,60,100,na,na,na,na
0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na
0,2,60,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na
0,16,60,na,na,na,na,na,na
1,0,60,12,20,na,na,na,na
1,0.25,60,9,15,na,na,na,na
1,0.5,60,10,16.66666667,na,na,na,na
1,2,60,13,21.66666667,na,na,na,na
1,8,60,13,21.66666667,na,na,na,na
1,16,60,23,38.33333333,na,na,na,na
2,0,60,0,20,37,77.08333333,na,na
2,0.25,60,0,15,15,29.41176471,na,na
2,0.5,60,0,16.66666667,10,20,na,na
2,2,60,0,21.66666667,10,21.27659574,na,na
2,8,60,0,21.66666667,1,2.127659574,na,na
2,16,60,37,100,na,na,na,na
3,0,60,0,20,48,100,na,na
3,0.25,60,1,16.66666667,50,100,na,na
3,0.5,60,1,18.33333333,48,97.95918367,na,na
3,2,60,0,21.66666667,45,95.74468085,na,na
3,8,60,6,31.66666667,11,26.82926829,na,na
3,16,60,60,100,na,na,na,na
4,0,60,0,20,48,100,na,na
4,0.25,60,0,16.66666667,50,100,na,na
4,0.5,60,0,18.33333333,49,100,na,na
4,2,60,0,21.66666667,47,100,na,na
4,8,60,20,65,17,80.95238095,na,na
4,16,60,60,100,na,na,na,na
5,0,60,0,20,,100,1,2.083333333
5,0.25,60,0,16.66666667,,100,2,4
5,0.5,60,0,18.33333333,,100,1,2.040816327
5,2,60,0,21.66666667,,100,47,100
5,8,60,21,100,na,na,na,na
5,16,60,60,100,na,na,na,na
0,0,60,na,na,na,na,na,na
0,0.25,60,na,na,na,na,na,na
0,0.5,60,na,na,na,na,na,na
0,2,,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na
0,16,,na,na,na,na,na,na
1,0,60,12,20,na,na,na,na
1,0.25,60,9,15,na,na,na,na
1,0.5,60,9,15,na,na,na,na
1,2,60,15,25,na,na,na,na
1,8,60,13,21.66666667,na,na,na,na
1,16,60,40,66.66666667,na,na,na,na
2,0,60,0,20,30,62.5,na,na
2,0.25,60,0,15,14,27.45098039,na,na
2,0.5,60,0,15,12,23.52941176,na,na
2,2,60,0,25,14,31.11111111,na,na
2,8,60,3,26.66666667,3,6.818181818,na,na
2,16,60,20,100,na,na,na,na
3,0,60,0,20,39,81.25,na,na
3,0.25,60,0,15,38,74.50980392,na,na
3,0.5,60,0,15,37,72.54901961,na,na
3,2,60,0,25,43,95.55555556,na,na
3,8,60,4,33.33333333,7,17.5,na,na
3,16,60,60,100,na,na,na,na
4,0,60,0,20,48,100,na,na
4,0.25,60,0,15,51,100,na,na
4,0.5,60,0,15,51,100,na,na
4,2,60,0,25,45,100,na,na
4,8,60,15,58.33333333,19,76,na,na
4,16,60,60,100,na,na,na,na
5,0,60,0,20,,100,1,2.083333333
5,0.25,60,0,15,,100,0,0
5,0.5,60,0,15,,100,3,5.882352941
5,2,60,0,25,,100,45,100
5,8,60,25,100,na,na,na,na
5,16,60,60,100,na,na,na,na
